tokens,labels
date: 2020-11-19,O
nol,O
##te,O
:,O
top,O
poll,O
##ster,O
finds,O
47,O
%,O
say,O
‘,O
likely,O
‘,O
demo,O
##cra,O
##ts,O
stol,O
##e,O
election,O
via,O
@,O
bre,ORG_B
##it,ORG_I
##bar,ORG_I
##tn,ORG_I
##ew,ORG_I
##s,ORG_I
rig,O
##ged,O
election,O
!,O
,O
,O
date: 2020-10-25,O
wisconsin,LOC_B
!,O
#,O
vote,O
#,O
mag,ORG_B
##a,ORG_I
,O
,O
date: 2020-11-10,O
“,O
president,O
trump,PER_B
told,O
us,O
for,O
some,O
time,O
we,O
would,O
be,O
getting,O
a,O
vaccine,O
by,O
the,O
end,O
of,O
the,O
year,O
and,O
people,O
lau,O
##ghe,O
##d,O
at,O
him,O
",",O
and,O
here,O
we,O
are,O
with,O
pfizer,ORG_B
getting,O
fda,ORG_B
approval,O
by,O
the,O
end,O
of,O
this,O
month,O
.,O
he,O
was,O
right,O
.,O
”,O
@,O
maria,PER_B
##bar,PER_I
##ti,PER_I
##rom,PER_I
##o,PER_I
,O
,O
date: 2020-11-19,O
lawyer,O
##s,O
now,O
on,O
@,O
news,ORG_B
##max,ORG_I
",",O
@,O
oa,ORG_B
##nn,ORG_I
&,O
amp,ORG_B
;,O
maybe,O
@,O
fox,ORG_B
##new,ORG_I
##s,ORG_I
.,O
an,O
open,O
and,O
shut,O
case,O
of,O
vote,O
##r,O
fraud,O
.,O
massive,O
numbers,O
!,O
,O
,O
date: 2020-11-19,O
the,O
cov,O
##id,O
drugs,O
now,O
available,O
to,O
make,O
people,O
better,O
are,O
amazing,O
",",O
but,O
sel,O
##dom,O
talked,O
about,O
by,O
the,O
media,O
!,O
mortality,O
rate,O
is,O
85,O
%,O
down,O
!,O
,O
,O
date: 2020-11-19,O
vote,O
##r,O
fraud,O
in,O
detroit,O
is,O
ramp,O
##ant,O
",",O
and,O
has,O
been,O
for,O
many,O
years,O
!,O
,O
,O
date: 2020-11-10,O
“,O
only,O
because,O
of,O
president,O
trump,O
",",O
we,O
are,O
going,O
to,O
have,O
a,O
vaccine,O
by,O
the,O
end,O
of,O
the,O
year,O
.,O
”,O
ron,PER_B
##ny,PER_I
jackson,PER_I
",",O
texas,O
congress,O
##man,O
-,O
elect,O
,O
,O
date: 2020-11-10,O
we,O
are,O
making,O
big,O
progress,O
.,O
results,O
start,O
to,O
come,O
in,O
next,O
week,O
.,O
make,O
america,LOC_B
great,O
again,O
!,O
,O
,O
date: 2020-11-19,O
“,O
evidence,O
of,O
vote,O
##r,O
fraud,O
continues,O
to,O
grow,O
",",O
including,O
20,O
",",O
000,O
dead,O
people,O
on,O
the,O
pennsylvania,LOC_B
vote,O
##rs,O
roll,O
and,O
many,O
thousands,O
all,O
over,O
the,O
country,O
.,O
now,O
",",O
there,O
has,O
been,O
an,O
artificial,O
number,O
of,O
votes,O
in,O
favor,O
of,O
joe,PER_B
bid,PER_I
##en,PER_I
.,O
”,O
@,O
oa,ORG_B
##nn,ORG_I
,O
,O
date: 2020-11-19,O
almost,O
zero,O
ball,O
##ot,O
##s,O
rejected,O
in,O
georgia,ORG_B
this,O
election,O
.,O
in,O
years,O
past,O
",",O
close,O
to,O
4,O
%,O
.,O
not,O
possible,O
.,O
must,O
have,O
signature,O
check,O
on,O
envelope,O
##s,O
now,O
.,O
very,O
easy,O
to,O
do,O
.,O
dem,O
##s,O
fighting,O
because,O
they,O
got,O
caught,O
.,O
far,O
more,O
votes,O
than,O
needed,O
for,O
flip,O
.,O
republic,ORG_B
##ans,ORG_I
must,O
get,O
tough,O
!,O
@,O
brian,PER_B
##ke,PER_I
##mp,PER_I
##ga,PER_I
,O
,O
date: 2020-11-26,O
just,O
saw,O
the,O
vote,O
tabula,O
##tions,O
.,O
there,O
is,O
no,O
way,O
bid,PER_B
##en,PER_I
got,O
80,O
",",O
000,O
",",O
000,O
votes,O
!,O
!,O
!,O
this,O
was,O
a,O
100,O
%,O
rig,O
##ged,O
election,O
.,O
,O
,O
date: 2020-11-10,O
we,O
will,O
win,O
!,O
,O
,O
date: 2020-11-26,O
happy,O
thanksgiving,O
!,O
,O
,O
date: 2020-11-10,O
watch,O
for,O
massive,O
ball,O
##ot,O
counting,O
abuse,O
and,O
",",O
just,O
like,O
the,O
early,O
vaccine,O
",",O
remember,O
i,O
told,O
you,O
so,O
!,O
,O
,O
date: 2020-11-26,O
no,O
thanks,O
!,O
,O
,O
date: 2020-11-10,O
ball,O
##ot,O
counting,O
abuse,O
!,O
,O
,O
date: 2020-11-20,O
great,O
book,O
!,O
,O
,O
date: 2020-11-20,O
a,O
rig,O
##ged,O
election,O
!,O
,O
,O
date: 2020-11-26,O
a,O
total,O
fraud,O
.,O
state,O
##house,O
republic,O
##ans,O
",",O
proud,O
",",O
strong,O
and,O
honest,O
",",O
will,O
never,O
let,O
this,O
tra,O
##vest,O
##y,O
stand,O
!,O
,O
,O
date: 2020-11-10,O
highly,O
respected,O
ken,O
star,O
##r,O
:,O
“,O
pennsylvania,LOC_B
’,O
s,O
three,O
-,O
day,O
extension,O
of,O
the,O
mail,O
-,O
in,O
ball,O
##ot,O
deadline,O
is,O
a,O
constitution,O
##al,O
tra,O
##vest,O
##y,O
.,O
”,O
legal,O
schola,O
##rs,O
agree,O
!,O
,O
,O
date: 2020-11-20,O
will,O
use,O
these,O
charts,O
in,O
court,O
case,O
.,O
the,O
election,O
was,O
a,O
ho,O
##ax,O
.,O
thank,O
you,O
justin,PER_B
!,O
,O
,O
date: 2020-11-26,O
will,O
go,O
down,O
much,O
further,O
.,O
weekend,O
day,O
##time,O
even,O
worse,O
",",O
dead,O
.,O
they,O
still,O
don,O
’,O
t,O
get,O
it,O
.,O
fantastic,O
alternatives,O
!,O
the,O
late,O
/,O
great,O
roger,PER_B
ai,PER_I
##les,PER_I
is,O
seriously,O
missed,O
",",O
but,O
i,O
still,O
won,O
legal,O
votes,O
by,O
a,O
lot,O
!,O
!,O
!,O
,O
,O
date: 2020-11-10,O
republic,O
##ans,O
",",O
don,O
’,O
t,O
let,O
andrew,PER_B
mcca,PER_I
##be,PER_I
continue,O
to,O
get,O
away,O
with,O
totally,O
criminal,O
activity,O
.,O
what,O
he,O
did,O
should,O
never,O
be,O
allowed,O
to,O
happen,O
to,O
our,O
country,O
again,O
.,O
fight,O
for,O
justice,O
!,O
,O
,O
date: 2020-11-20,O
@,O
justin,PER_B
_,O
hart,O
there,O
will,O
be,O
no,O
lock,O
##downs,O
other,O
than,O
those,O
done,O
by,O
certain,O
demo,O
##cra,O
##t,O
governors,O
!,O
,O
,O
date: 2020-11-26,O
so,O
much,O
truth,O
!,O
,O
,O
date: 2020-11-10,O
happy,O
245,O
##th,O
birth,O
##day,O
to,O
the,O
@,O
us,ORG_B
##mc,ORG_I
!,O
#,O
happy,O
##bi,O
##rth,O
##day,O
##mari,ORG_B
##nes,ORG_I
,O
,O
date: 2020-11-10,O
nat,PER_B
##e,PER_I
sim,PER_I
##ington,PER_I
",",O
a,O
very,O
smart,O
and,O
qualified,O
individual,O
",",O
is,O
having,O
his,O
senate,O
hearing,O
today,O
.,O
republic,ORG_B
##ans,ORG_I
will,O
hopefully,O
confirm,O
him,O
to,O
the,O
fcc,ORG_B
asa,O
##p,O
!,O
we,O
need,O
action,O
now,O
on,O
this,O
very,O
important,O
nom,O
##ination,O
!,O
!,O
@,O
sen,O
##ator,O
##wick,PER_B
##er,PER_I
@,O
marsh,PER_B
##abl,PER_I
##ack,PER_I
##burn,PER_I
@,O
senate,O
##ma,O
##j,O
##ld,O
##r,O
,O
,O
date: 2020-11-10,O
pennsylvania,LOC_B
party,O
leadership,O
votes,O
are,O
this,O
week,O
.,O
i,O
hope,O
they,O
pick,O
very,O
tough,O
and,O
smart,O
fight,O
##ers,O
.,O
we,O
will,O
win,O
!,O
!,O
,O
,O
date: 2020-11-20,O
rin,O
##o,O
mit,O
##t,O
rom,O
##ney,O
should,O
read,O
this,O
.,O
i,O
’,O
m,O
sure,O
",",O
however,O
",",O
that,O
he,O
feels,O
he,O
got,O
sla,O
##ught,O
##ering,O
by,O
obama,O
“,O
fair,O
and,O
square,O
”,O
.,O
,O
,O
date: 2020-11-26,O
a,O
bri,O
##lli,O
##ant,O
wo,O
##man,O
of,O
cour,O
##age,O
!,O
,O
,O
date: 2020-11-10,O
nat,PER_B
##e,PER_I
sim,PER_I
##ington,PER_I
",",O
a,O
very,O
smart,O
and,O
qualified,O
individual,O
",",O
is,O
having,O
his,O
senate,O
hearing,O
today,O
.,O
republic,O
##ans,O
will,O
hopefully,O
confirm,O
him,O
to,O
the,O
fcc,ORG_B
asa,O
##p,O
!,O
we,O
need,O
action,O
now,O
on,O
this,O
very,O
important,O
nom,O
##ination,O
!,O
!,O
@,O
sen,O
##ator,O
##wick,PER_B
##er,PER_I
@,O
marsh,PER_B
##abl,PER_I
##ack,PER_I
##burn,PER_I
@,O
senate,O
##ma,O
##j,O
##ld,O
##r,O
,O
,O
date: 2020-11-20,O
the,O
great,O
@,O
fox,ORG_B
##new,ORG_I
##s,ORG_I
day,O
##time,O
ratings,O
cra,O
##sh,O
will,O
only,O
get,O
worse,O
!,O
,O
,O
date: 2020-11-10,O
ball,O
##ot,O
corruption,O
will,O
be,O
exposed,O
ton,O
##ight,O
at,O
9,O
:,O
00,O
##pm,O
##e,O
on,O
@,O
sean,PER_B
##hann,PER_I
##ity,PER_I
on,O
@,O
fox,ORG_B
##new,ORG_I
##s,ORG_I
!,O
,O
,O
date: 2020-11-27,O
a,O
must,O
read,O
.,O
impossible,O
for,O
bid,PER_B
##en,PER_I
to,O
have,O
overcome,O
these,O
",",O
and,O
even,O
greater,O
",",O
odds,O
!,O
,O
,O
date: 2020-10-25,O
so,O
true,O
!,O
,O
,O
date: 2020-11-20,O
thank,O
you,O
elizabeth,PER_B
",",O
love,O
!,O
,O
,O
date: 2020-11-27,O
i,O
gave,O
a,O
long,O
news,O
conference,O
today,O
after,O
wishing,O
the,O
military,O
a,O
happy,O
thanksgiving,O
",",O
&,O
amp,O
;,O
realized,O
once,O
again,O
that,O
the,O
fa,O
##ke,O
news,O
media,O
coordinate,O
##s,O
so,O
that,O
the,O
real,O
message,O
of,O
such,O
a,O
conference,O
never,O
gets,O
out,O
.,O
primary,O
point,O
made,O
was,O
that,O
the,O
2020,O
election,O
was,O
rig,O
##ged,O
",",O
and,O
that,O
i,O
won,O
!,O
,O
,O
date: 2020-11-27,O
twitter,ORG_B
is,O
sending,O
out,O
totally,O
false,O
“,O
trends,O
”,O
that,O
have,O
absolutely,O
nothing,O
to,O
do,O
with,O
what,O
is,O
really,O
trending,O
in,O
the,O
world,O
.,O
they,O
make,O
it,O
up,O
",",O
and,O
only,O
negative,O
“,O
stuff,O
”,O
.,O
same,O
thing,O
will,O
happen,O
to,O
twitter,ORG_B
as,O
is,O
happening,O
to,O
@,O
fox,ORG_B
##new,ORG_I
##s,ORG_I
day,O
##time,O
.,O
also,O
",",O
big,O
conservative,O
discrimination,O
!,O
,O
,O
date: 2020-10-24,O
thank,O
you,O
pens,LOC_B
##aco,LOC_I
##la,LOC_I
",",LOC_I
florida,LOC_I
!,O
together,O
",",O
we,O
are,O
going,O
to,O
make,O
america,LOC_B
great,O
again,O
!,O
,O
,O
date: 2020-11-20,O
we,O
have,O
great,O
support,O
on,O
the,O
election,O
ho,O
##ax,O
!,O
,O
,O
date: 2020-11-27,O
for,O
purposes,O
of,O
national,O
security,O
",",O
section,O
230,O
must,O
be,O
immediately,O
terminated,O
!,O
!,O
!,O
,O
,O
date: 2020-11-11,O
“,O
i,O
don,O
’,O
t,O
care,O
what,O
state,O
your,O
in,O
",",O
this,O
computer,O
voting,O
system,O
is,O
wide,O
open,O
to,O
fraud,O
and,O
intervention,O
.,O
”,O
@,O
lou,PER_B
##do,PER_I
##bb,PER_I
##s,PER_I
true,O
",",O
and,O
wait,O
until,O
you,O
see,O
what,O
’,O
s,O
coming,O
!,O
,O
,O
date: 2020-11-11,O
“,O
i,O
don,O
’,O
t,O
care,O
what,O
state,O
you,O
’,O
re,O
in,O
",",O
this,O
computer,O
voting,O
system,O
is,O
wide,O
open,O
to,O
fraud,O
and,O
intervention,O
.,O
”,O
@,O
lou,PER_B
##do,PER_I
##bb,PER_I
##s,PER_I
true,O
",",O
and,O
wait,O
until,O
you,O
see,O
what,O
’,O
s,O
coming,O
!,O
,O
,O
date: 2020-11-27,O
wo,O
##w,O
!,O
twitter,ORG_B
ban,O
##s,O
highly,O
respected,O
pennsylvania,O
state,O
sen,O
##ator,O
doug,PER_B
mast,PER_I
##rian,PER_I
##o,PER_I
after,O
he,O
did,O
a,O
great,O
job,O
of,O
leading,O
a,O
hearing,O
on,O
the,O
2020,O
election,O
fraud,O
.,O
they,O
and,O
the,O
fa,O
##ke,O
news,O
",",O
working,O
together,O
",",O
want,O
to,O
sil,O
##ence,O
the,O
truth,O
.,O
can,O
’,O
t,O
let,O
that,O
happen,O
.,O
this,O
is,O
what,O
comm,O
##uni,O
##st,O
countries,O
do,O
!,O
,O
,O
date: 2020-11-27,O
big,O
news,O
:,O
pennsylvania,O
poll,O
watche,O
##r,O
:,O
usb,O
drives,O
upl,O
##oad,O
##ed,O
to,O
machines,O
",",O
gave,O
bid,PER_B
##en,PER_I
thousands,O
of,O
votes,O
.,O
says,O
47,O
usb,O
drives,O
are,O
now,O
missing,O
.,O
every,O
upl,O
##oad,O
gave,O
bid,PER_B
##en,PER_I
50,O
",",O
000,O
votes,O
.,O
@,O
oa,ORG_B
##nn,ORG_I
,O
,O
date: 2020-11-27,O
“,O
president,O
trump,PER_B
nominate,O
##s,O
record,O
number,O
of,O
federal,O
judge,O
##s,O
.,O
”,O
@,O
oa,ORG_B
##nn,ORG_I
,O
,O
date: 2020-11-11,O
but,O
how,O
many,O
ball,O
##ot,O
##s,O
were,O
fraudulent,O
##ly,O
cast,O
for,O
the,O
dem,ORG_B
##s,ORG_I
?,O
did,O
people,O
vote,O
after,O
the,O
election,O
had,O
ended,O
?,O
did,O
officials,O
actually,O
not,O
allow,O
observe,O
##rs,O
and,O
poll,O
watche,O
##rs,O
to,O
look,O
for,O
an,O
honest,O
count,O
?,O
,O
,O
date: 2020-10-24,O
debate,O
poll,O
average,O
:,O
89,O
%,O
trump,PER_B
.,O
11,O
%,O
sleep,O
##y,O
joe,PER_B
bid,PER_I
##en,PER_I
!,O
,O
,O
date: 2020-11-11,O
andrew,PER_B
mcca,PER_I
##be,PER_I
was,O
exposed,O
for,O
who,O
he,O
is,O
today,O
in,O
the,O
u,O
.,O
s,O
.,O
senate,O
.,O
he,O
was,O
totally,O
destroye,O
##d,O
-,O
an,O
ig,O
##nor,O
##ant,O
fo,O
##ol,O
.,O
the,O
great,O
people,O
of,O
the,O
fb,ORG_B
##i,ORG_I
must,O
make,O
sure,O
that,O
he,O
and,O
his,O
former,O
boss,O
",",O
james,PER_B
come,PER_I
##y,PER_I
",",O
pay,O
the,O
price,O
for,O
what,O
they,O
have,O
done,O
to,O
the,O
reputation,O
of,O
the,O
fb,ORG_B
##i,ORG_I
.,O
,O
,O
date: 2020-11-20,O
gi,PER_B
##uli,PER_I
##ani,PER_I
:,O
the,O
case,O
for,O
election,O
fraud,O
being,O
made,O
by,O
americans,O
via,O
@,O
bre,ORG_B
##it,ORG_I
##bar,ORG_I
##tn,ORG_I
##ew,ORG_I
##s,ORG_I
,O
,O
date: 2020-01-29,O
remember,O
republic,PER_B
##ans,PER_I
",",O
the,O
demo,PER_B
##cra,PER_I
##ts,PER_I
already,O
had,O
17,O
witness,O
##es,O
",",O
we,O
were,O
given,O
none,O
!,O
witness,O
##es,O
are,O
up,O
to,O
the,O
house,O
",",O
not,O
up,O
to,O
the,O
senate,O
.,O
don,O
’,O
t,O
let,O
the,O
dem,PER_B
##s,PER_I
play,O
you,O
!,O
,O
,O
date: 2019-07-12,O
thank,O
you,O
lar,PER_B
##a,PER_I
and,O
jess,PER_B
##ie,PER_I
jane,PER_I
!,O
,O
,O
date: 2019-07-02,O
.,O
.,O
.,O
texas,PER_B
will,O
defend,O
them,O
&,O
amp,O
",",O
indemnify,O
them,O
against,O
political,O
har,O
##ass,O
##ment,O
by,O
new,ORG_B
york,ORG_I
state,O
and,O
governor,O
cu,PER_B
##omo,PER_I
.,O
so,O
many,O
people,O
are,O
leaving,O
new,LOC_B
york,LOC_I
for,O
texas,LOC_B
and,O
florida,LOC_B
that,O
it,O
is,O
totally,O
under,O
sieg,O
##e,O
.,O
first,O
new,LOC_B
york,LOC_I
taxes,O
you,O
too,O
high,O
",",O
then,O
they,O
sue,O
you,O
",",O
just,O
to,O
complete,O
the,O
job,O
,O
,O
date: 2019-12-13,O
happy,O
birth,O
##day,O
!,O
#,O
guard,PER_B
##38,PER_I
##3,PER_I
,O
,O
date: 2020-04-20,O
i,O
will,O
be,O
having,O
a,O
white,O
house,O
press,O
conference,O
today,O
at,O
5,O
:,O
30,O
p,O
.,O
m,O
.,O
thank,O
you,O
!,O
,O
,O
date: 2020-09-09,O
great,O
new,O
book,O
by,O
sarah,PER_B
!,O
,O
,O
date: 2018-07-29,O
the,O
biggest,O
and,O
best,O
results,O
coming,O
out,O
of,O
the,O
good,O
gdp,O
report,O
was,O
that,O
the,O
quarterly,O
trade,O
deficit,O
has,O
been,O
reduced,O
by,O
$,O
52,O
billion,O
and,O
",",O
of,O
course,O
",",O
the,O
historically,O
low,O
unemployment,O
numbers,O
",",O
especially,O
for,O
african,O
americans,O
",",O
hispanic,O
##s,O
",",O
asian,O
##s,O
and,O
women,O
.,O
,O
,O
date: 2019-08-21,O
.,O
.,O
.,O
.,O
.,O
all,O
je,O
##ws,O
",",O
black,O
##s,O
",",O
ga,O
##ys,O
",",O
everyone,O
.,O
and,O
importantly,O
",",O
he,O
’,O
s,O
good,O
for,O
everyone,O
in,O
america,O
who,O
wants,O
a,O
job,O
.,O
”,O
wo,O
##w,O
!,O
@,O
news,ORG_B
##max,ORG_I
@,O
fox,ORG_B
##and,ORG_I
##frie,ORG_I
##nds,ORG_I
@,O
oa,ORG_B
##nn,ORG_I
,O
,O
date: 2017-08-27,O
historic,O
rain,O
##fall,O
in,O
houston,LOC_B
",",O
and,O
all,O
over,O
texas,LOC_B
.,O
floods,O
are,O
unprecedented,O
",",O
and,O
more,O
rain,O
coming,O
.,O
spirit,O
of,O
the,O
people,O
is,O
incredible,O
.,O
thanks,O
!,O
,O
,O
date: 2020-06-19,O
if,O
the,O
dem,PER_B
##s,PER_I
get,O
in,O
",",O
our,O
country,O
is,O
in,O
big,O
trouble,O
!,O
,O
,O
date: 2017-09-26,O
a,O
few,O
of,O
the,O
many,O
clip,O
##s,O
of,O
john,PER_B
mcca,PER_I
##in,PER_I
talking,O
about,O
repeal,O
##ing,O
&,O
amp,O
",",O
replacing,O
o,O
',O
care,O
.,O
my,O
oh,O
my,O
has,O
he,O
changed,O
-,O
complete,O
turn,O
from,O
years,O
of,O
talk,O
!,O
,O
,O
date: 2020-04-12,O
the,O
big,O
oil,O
deal,O
with,O
opec,ORG_B
plus,O
is,O
done,O
.,O
this,O
will,O
save,O
hundreds,O
of,O
thousands,O
of,O
energy,O
jobs,O
in,O
the,O
united,LOC_B
states,LOC_I
.,O
i,O
would,O
like,O
to,O
thank,O
and,O
congr,O
##atu,O
##late,O
president,O
put,PER_B
##in,PER_I
of,O
russia,LOC_B
and,O
king,O
sal,PER_B
##man,PER_I
of,O
saudi,LOC_B
arabia,LOC_I
.,O
i,O
just,O
spoke,O
to,O
them,O
from,O
the,O
ova,O
##l,O
office,O
.,O
great,O
deal,O
for,O
all,O
!,O
,O
,O
date: 2020-02-09,O
drain,O
the,O
swa,O
##mp,O
!,O
,O
,O
date: 2020-09-22,O
the,O
demo,PER_B
##cra,PER_I
##ts,PER_I
are,O
only,O
interested,O
in,O
bail,O
##ing,O
out,O
their,O
bad,O
##ly,O
managed,O
",",O
high,O
crime,O
",",O
blue,O
states,O
.,O
they,O
are,O
not,O
interested,O
in,O
our,O
workers,O
or,O
small,O
businesses,O
.,O
cra,O
##zy,O
nancy,PER_B
will,O
only,O
do,O
stimulus,O
",",O
which,O
would,O
be,O
helpful,O
",",O
if,O
we,O
couple,O
it,O
with,O
bail,O
##out,O
money,O
.,O
republic,O
##an,O
states,O
are,O
great,O
!,O
!,O
!,O
,O
,O
date: 2020-09-20,O
jim,PER_B
",",O
to,O
late,O
to,O
take,O
it,O
back,O
.,O
stay,O
with,O
the,O
truth,O
",",O
no,O
pand,O
##ering,O
!,O
,O
,O
date: 2020-05-24,O
you,O
are,O
right,O
!,O
,O
,O
date: 2019-03-29,O
this,O
has,O
been,O
an,O
incredible,O
couple,O
of,O
weeks,O
for,O
america,PER_B
!,O
,O
,O
date: 2020-09-14,O
if,O
you,O
mur,O
##der,O
a,O
police,O
officer,O
",",O
you,O
should,O
receive,O
the,O
death,O
penalty,O
!,O
,O
,O
date: 2017-03-07,O
our,O
wonderful,O
new,O
healthcare,O
bill,O
is,O
now,O
out,O
for,O
review,O
and,O
negotiation,O
.,O
obama,O
##care,O
is,O
a,O
complete,O
and,O
total,O
disaster,O
-,O
is,O
imp,O
##lo,O
##ding,O
fast,O
!,O
,O
,O
date: 2017-10-19,O
workers,O
of,O
firm,O
involved,O
with,O
the,O
discr,O
##edit,O
##ed,O
and,O
fa,O
##ke,O
dos,O
##sie,O
##r,O
take,O
the,O
5th,O
.,O
who,O
paid,O
for,O
it,O
",",O
russia,O
",",O
the,O
fb,O
##i,O
or,O
the,O
dem,O
##s,O
(,O
or,O
all,O
),O
?,O
,O
,O
date: 2019-06-12,O
.,O
.,O
.,O
.,O
.,O
the,O
fa,O
##ke,O
(,O
corrupt,O
),O
news,O
media,O
said,O
they,O
had,O
a,O
leak,O
into,O
poll,O
##ing,O
done,O
by,O
my,O
campaign,O
which,O
",",O
by,O
the,O
way,O
and,O
despite,O
the,O
pho,O
##ny,O
and,O
never,O
ending,O
wit,O
##ch,O
hunt,O
",",O
are,O
the,O
best,O
numbers,O
we,O
have,O
ever,O
had,O
.,O
they,O
reported,O
fa,O
##ke,O
numbers,O
that,O
they,O
made,O
up,O
&,O
amp,O
",",O
don,O
’,O
t,O
even,O
exist,O
.,O
we,O
will,O
win,O
again,O
!,O
,O
,O
date: 2019-10-10,O
wo,O
##w,O
",",O
thank,O
you,O
minn,PER_B
##eap,PER_I
##olis,PER_I
",",O
minnesota,PER_B
—,O
on,O
my,O
way,O
!,O
#,O
ka,O
##g,O
##202,O
##0,O
,O
,O
date: 2019-11-22,O
"""",O
schi,PER_B
##ff,PER_I
',PER_I
s,PER_I
"""",O
"""",O
fact,O
"""",O
"""",O
witness,O
##es,O
!,O
,O
,O
date: 2017-01-09,O
rup,PER_B
##ert,PER_I
mur,PER_I
##doc,PER_I
##h,PER_I
is,O
a,O
great,O
guy,O
who,O
likes,O
me,O
much,O
better,O
as,O
a,O
very,O
successful,O
candidate,O
than,O
he,O
ever,O
did,O
as,O
a,O
very,O
successful,O
developer,O
!,O
,O
,O
date: 2018-09-13,O
sen,O
##ator,O
deb,PER_B
##bie,PER_I
sta,PER_I
##ben,PER_I
##ow,PER_I
and,O
the,O
demo,PER_B
##cra,PER_I
##ts,PER_I
are,O
totally,O
against,O
approving,O
the,O
farm,O
bill,O
.,O
they,O
are,O
fighting,O
tooth,O
and,O
nail,O
to,O
not,O
allow,O
our,O
great,O
farmers,O
to,O
get,O
